Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Vehicle,Stop,1st Lane,,7:20:15,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:20:16,Moderate (34 - 80 %),,,
Passenger,Load,1st Lane,,7:20:21,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,7:20:22,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,7:20:47,Full (81 - 100%),,,
Passenger,Wait,1st Lane,,7:20:48,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,7:20:52,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,7:20:54,Full (81 - 100%),,,
Passenger,Wait,1st Lane,,7:20:55,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,7:20:58,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,7:21:37,Full (81 - 100%),,,
Passenger,Wait,1st Lane,,7:21:38,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,7:21:40,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,7:22:47,Full (81 - 100%),,,
Passenger,Wait,1st Lane,,7:22:48,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,7:22:57,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,7:23:22,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,7:23:24,Full (81 - 100%),,,
Stoplight,Stop,1st Lane,,7:23:28,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,7:23:32,Full (81 - 100%),,,
Passenger,Wait,1st Lane,,7:24:33,Full (81 - 100%),,,
Stoplight,Go,1st Lane,,7:24:45,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,7:25:49,Full (81 - 100%),,,
Stoplight,Stop,1st Lane,,7:25:07,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,7:25:29,Full (81 - 100%),,,
Passenger,Wait,1st Lane,,7:25:30,Full (81 - 100%),,,
Passenger,Unload,1st Lane,,7:25:37,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:25:48,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:25:52,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:25:53,Moderate (34 - 80 %),,,
Passenger,Load,1st Lane,,7:26:11,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:26:12,Moderate (34 - 80 %),,,
Stoplight,Go,1st Lane,,7:26:49,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:26:55,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:27:13,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:27:14,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,2nd Lane,,7:27:23,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,1st Lane,,7:27:45,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:27:52,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:27:53,Moderate (34 - 80 %),,,
Passenger,Unload,1st Lane,,7:27:54,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:27:55,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:28:07,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:28:08,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:28:17,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:28:24,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:28:25,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:28:29,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:28:46,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:28:47,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:28:52,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:28:57,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:28:58,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:29:40,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:29:41,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:29:50,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:29:51,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:29:55,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:29:57,Moderate (34 - 80 %),,,
Passenger,Load,1st Lane,,7:30:55,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:30:56,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:31:04,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:31:15,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:31:16,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:31:20,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:31:32,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:31:33,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:31:57,Moderate (34 - 80 %),,,
