Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Passenger Load,Remarks
Stoplight,Stop,1st Lane,,14:00:26,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,14:00:37,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,Sudden Acceleration,14:00:41,Moderate (34 - 80 %),,speeding because counterflow,,,
Vehicle,1 Lane Right,1st Lane,,14:01:01,Moderate (34 - 80 %),,,slow car,,
Vehicle,1 Lane Left,2nd Lane,,14:01:46,Moderate (34 - 80 %),,,little cars in lane,,
Vehicle,Stop,2nd Lane,,14:01:54,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,2nd Lane,,14:02:06,Moderate (34 - 80 %),,,,,
Vehicle,Stop,2nd Lane,,14:02:14,Moderate (34 - 80 %),,,,,
Vehicle,Go,2nd Lane,,14:02:16,Moderate (34 - 80 %),,,,,
Vehicle,Stop,2nd Lane,Sudden Break,14:02:23,Moderate (34 - 80 %),,,,,
Vehicle,Go,2nd Lane,,14:02:34,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Right,1st Lane,,14:02:40,Moderate (34 - 80 %),3km/h,,stay side of passengers,,
Vehicle,Stop,1st Lane,,14:03:30,Moderate (34 - 80 %),,,,,
Passenger,Wait,1st Lane,,14:03:31,Moderate (34 - 80 %),,,,,legarda station
Vehicle,Go,1st Lane,,14:03:38,Moderate (34 - 80 %),15km/h,,,,
Vehicle,Stop,1st Lane,,14:04:20,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,14:04:21,Moderate (34 - 80 %),,,,14,
Vehicle,Go,1st Lane,,14:04:24,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,14:04:31,Moderate (34 - 80 %),,,slow bicycle in lane,,
Vehicle,Stop,2nd Lane,,14:04:38,Moderate (34 - 80 %),,,,,jeep unloading in front
Vehicle,Go,2nd Lane,,14:04:45,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Right,1st Lane,,14:05:01,Moderate (34 - 80 %),,,dropping off passengers,,
Vehicle,Stop,1st Lane,,14:05:15,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,14:05:16,Moderate (34 - 80 %),,,,13,
Vehicle,Go,1st Lane,,14:05:19,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,14:05:20,Moderate (34 - 80 %),,,overtake unloading jeep,,
Vehicle,1 Lane Right,1st Lane,Sudden Acceleration,14:05:25,Moderate (34 - 80 %),50km/h,empty lane,overtake unloading jeep,,
